Country,Store,Name,Date,EOD_Start,EOD_Finish,EOD_Duration,Backup_Start,Backup_end,Replication_Start,Replication_End,Replication_Duration,Deployment_Start,Deployment_End,Dep_Duration
Northern Ireland  UK,1907,Belfast Park centre,18/03/2018,18/03/2018 17:24:09,18/03/2018 19:32:03,7674,18/03/2018 17:44:57,18/03/2018 18:40:47,18/03/2018 18:49:43,18/03/2018 18:53:45,242,18/03/2018 18:54:13,18/03/2018 18:57:15,182
England  UK,1929,St Ives,18/03/2018,18/03/2018 16:06:20,18/03/2018 16:45:25,2345,18/03/2018 16:27:22,18/03/2018 16:35:26,18/03/2018 16:37:02,18/03/2018 16:40:29,207,18/03/2018 16:40:35,18/03/2018 16:41:39,64
England  UK,1645,Ramsgate,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
Wales  UK,1919,Newport Spytty Rd,18/03/2018,18/03/2018 17:20:32,18/03/2018 18:51:32,5460,18/03/2018 17:42:20,18/03/2018 18:17:04,18/03/2018 18:22:49,18/03/2018 18:28:40,351,18/03/2018 18:29:32,18/03/2018 18:33:21,229
England  UK,1926,Harborne,18/03/2018,18/03/2018 16:21:56,18/03/2018 17:19:54,3478,18/03/2018 16:51:56,18/03/2018 17:08:00,18/03/2018 17:09:36,18/03/2018 17:12:25,169,18/03/2018 17:12:40,18/03/2018 17:14:40,120
England  UK,1923,Swiss Cottage,18/03/2018,18/03/2018 17:57:30,18/03/2018 19:13:56,4586,18/03/2018 18:18:21,18/03/2018 18:56:39,18/03/2018 19:02:04,18/03/2018 19:05:20,196,18/03/2018 19:05:47,18/03/2018 19:07:36,109
England  UK,1908,Windsor,18/03/2018,18/03/2018 16:33:16,18/03/2018 17:07:14,2038,18/03/2018 16:54:09,18/03/2018 17:00:02,18/03/2018 17:00:47,18/03/2018 17:03:19,152,18/03/2018 17:03:38,18/03/2018 17:04:45,67
England  UK,1916,Acomb,18/03/2018,18/03/2018 16:07:08,18/03/2018 17:00:14,3186,18/03/2018 16:28:35,18/03/2018 16:43:45,18/03/2018 16:45:40,18/03/2018 16:48:35,175,18/03/2018 16:49:05,18/03/2018 16:51:22,137
England  UK,1874,Yardley,18/03/2018,18/03/2018 17:11:25,18/03/2018 18:18:09,4004,18/03/2018 17:48:57,18/03/2018 17:59:22,18/03/2018 18:02:17,18/03/2018 18:07:20,303,18/03/2018 18:07:49,18/03/2018 18:11:23,214
Wales  UK,1872,Cardigan,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
